artifact,dataset,model,operator,fold,branches,residual_mode,timestamp,matrix_name,mean_cka_depth,max_cka_depth,min_cka_depth
cka_depth,DD,HorizontalRes,GCNConv,0,B1,identity,20260507_080131,cka_depth,0.7451711363262601,1.0,0.39951276779174805
cka_depth,DD,HorizontalRes,GCNConv,0,B2,identity,20260507_080428,cka_depth,0.792452355225881,1.0,0.45784318447113037
cka_depth,DD,HorizontalRes,GCNConv,0,B3,identity,20260506_220125,cka_depth,0.8215384946929084,1.0,0.5543695688247681
cka_depth,DD,HorizontalRes,GCNConv,0,B3,identity,20260506_222850,cka_depth,0.8045893775092231,1.0,0.5170314908027649
cka_depth,DD,HorizontalRes,GCNConv,0,B3,identity,20260507_080744,cka_depth,0.8059209055370755,1.0,0.5269718766212463
cka_depth,DD,HorizontalRes,GCNConv,0,B4,identity,20260507_081259,cka_depth,0.80716872215271,1.000000238418579,0.5156586170196533
cka_depth,DD,HorizontalRes,GCNConv,0,B5,identity,20260507_081815,cka_depth,0.8173472285270691,1.0,0.5306177735328674
cka_depth,DD,HorizontalRes,GCNConv,0,B6,identity,20260507_083144,cka_depth,0.8128150039248996,1.0,0.5621756911277771
cka_depth,DD,HorizontalRes,GCNConv,0,B7,identity,20260507_084435,cka_depth,0.7865103350745307,1.0,0.47938764095306396
cka_depth,DD,HorizontalRes,GCNConv,0,B8,identity,20260507_085842,cka_depth,0.751341826385922,1.0,0.4569851756095886
cka_depth,DD,HorizontalRes,GCNConv,1,B1,identity,20260507_080133,cka_depth,0.9276474979188707,1.0,0.8162587881088257
cka_depth,DD,HorizontalRes,GCNConv,1,B2,identity,20260507_080434,cka_depth,0.9409667650858561,1.0,0.849376380443573
cka_depth,DD,HorizontalRes,GCNConv,1,B3,identity,20260506_222945,cka_depth,0.9067080948087904,1.0,0.7584176659584045
cka_depth,DD,HorizontalRes,GCNConv,1,B3,identity,20260507_080912,cka_depth,0.9087526665793525,1.0,0.764060914516449
cka_depth,DD,HorizontalRes,GCNConv,1,B4,identity,20260507_081317,cka_depth,0.8991734915309482,1.0,0.7365386486053467
cka_depth,DD,HorizontalRes,GCNConv,1,B5,identity,20260507_082034,cka_depth,0.8020337886280484,1.000000238418579,0.5331878066062927
cka_depth,DD,HorizontalRes,GCNConv,1,B6,identity,20260507_083052,cka_depth,0.9213093982802497,1.0,0.7942929863929749
cka_depth,DD,HorizontalRes,GCNConv,1,B7,identity,20260507_084403,cka_depth,0.9279352691438463,1.0,0.8234164118766785
cka_depth,DD,HorizontalRes,GCNConv,1,B8,identity,20260507_090250,cka_depth,0.8825227816899618,1.0,0.6985049247741699
cka_depth,DD,HorizontalRes,GCNConv,2,B1,identity,20260507_075921,cka_depth,0.9439496133062575,1.0000001192092896,0.845978319644928
cka_depth,DD,HorizontalRes,GCNConv,2,B2,identity,20260507_080344,cka_depth,0.9691899882422553,1.0,0.9158951640129089
cka_depth,DD,HorizontalRes,GCNConv,2,B3,identity,20260506_222853,cka_depth,0.9624871214230856,1.0,0.8981911540031433
cka_depth,DD,HorizontalRes,GCNConv,2,B3,identity,20260507_080729,cka_depth,0.962193681134118,1.0,0.8973320126533508
cka_depth,DD,HorizontalRes,GCNConv,2,B4,identity,20260507_081217,cka_depth,0.9679873718155755,1.0,0.9134451746940613
cka_depth,DD,HorizontalRes,GCNConv,2,B5,identity,20260507_081758,cka_depth,0.9894519911872016,1.0000001192092896,0.973869264125824
cka_depth,DD,HorizontalRes,GCNConv,2,B6,identity,20260507_082721,cka_depth,0.9817471239301894,1.0000001192092896,0.9552711844444275
cka_depth,DD,HorizontalRes,GCNConv,2,B7,identity,20260507_084116,cka_depth,0.9865990082422892,1.0,0.9651129841804504
cka_depth,DD,HorizontalRes,GCNConv,2,B8,identity,20260507_085447,cka_depth,0.9539419081475999,1.0000003576278687,0.8678653836250305
cka_depth,DD,HorizontalRes,GCNConv,3,B1,identity,20260507_080159,cka_depth,0.7505144543117948,1.0,0.46949121356010437
cka_depth,DD,HorizontalRes,GCNConv,3,B2,identity,20260507_080600,cka_depth,0.818566812409295,1.0,0.6259469985961914
cka_depth,DD,HorizontalRes,GCNConv,3,B3,identity,20260506_223023,cka_depth,0.7879744900597466,1.000000238418579,0.5416744351387024
cka_depth,DD,HorizontalRes,GCNConv,3,B3,identity,20260507_081025,cka_depth,0.7957432071367899,1.0,0.5531447529792786
cka_depth,DD,HorizontalRes,GCNConv,3,B4,identity,20260507_081539,cka_depth,0.8495417568418715,1.0,0.6597289443016052
cka_depth,DD,HorizontalRes,GCNConv,3,B5,identity,20260507_082259,cka_depth,0.8558165298567878,1.000000238418579,0.6663198471069336
cka_depth,DD,HorizontalRes,GCNConv,3,B6,identity,20260507_083353,cka_depth,0.919225295384725,1.0,0.8020590543746948
cka_depth,DD,HorizontalRes,GCNConv,3,B7,identity,20260507_084923,cka_depth,0.8611115349663628,1.0,0.6800335049629211
cka_depth,DD,HorizontalRes,GCNConv,3,B8,identity,20260507_090604,cka_depth,0.7463211880789863,1.0,0.4145369231700897
cka_depth,DD,HorizontalRes,GCNConv,4,B1,identity,20260507_080232,cka_depth,0.9706195659107633,1.0,0.9229705929756165
cka_depth,DD,HorizontalRes,GCNConv,4,B2,identity,20260507_080544,cka_depth,0.9783270623948839,1.0,0.9429409503936768
cka_depth,DD,HorizontalRes,GCNConv,4,B3,identity,20260506_222946,cka_depth,0.9676966269810995,1.0,0.9113326072692871
cka_depth,DD,HorizontalRes,GCNConv,4,B3,identity,20260507_080918,cka_depth,0.9673669073316786,1.000000238418579,0.9103317856788635
cka_depth,DD,HorizontalRes,GCNConv,4,B4,identity,20260507_081457,cka_depth,0.9849270582199097,1.0,0.9596713185310364
cka_depth,DD,HorizontalRes,GCNConv,4,B5,identity,20260507_082051,cka_depth,0.9907615184783936,1.0,0.9786800146102905
cka_depth,DD,HorizontalRes,GCNConv,4,B6,identity,20260507_083618,cka_depth,0.9963197045856051,1.0000001192092896,0.9915600419044495
cka_depth,DD,HorizontalRes,GCNConv,4,B7,identity,20260507_084858,cka_depth,0.9908755222956339,1.0,0.9773322939872742
cka_depth,DD,HorizontalRes,GCNConv,4,B8,identity,20260507_090423,cka_depth,0.976571692360772,1.000000238418579,0.9336363673210144
cka_depth,DD,MatrixResGated,GCNConv,0,B1,sparse,20260507_100211,cka_depth,0.8629141648610433,1.0000001192092896,0.6212071180343628
cka_depth,DD,MatrixResGated,GCNConv,0,B2,sparse,20260507_100630,cka_depth,0.8524993393156264,1.000000238418579,0.608441948890686
cka_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260506_220134,cka_depth,0.7959410614437528,1.0,0.46109431982040405
cka_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260506_223423,cka_depth,0.8479476107491387,1.0000001192092896,0.6037114262580872
cka_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_084029,cka_depth,0.8961294756995307,1.0,0.7295381426811218
cka_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_084411,cka_depth,0.8417449924680922,1.0,0.584347665309906
cka_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_084458,cka_depth,0.8416447109646268,1.000000238418579,0.5863884091377258
cka_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_084733,cka_depth,0.8768973880343967,1.0,0.6690876483917236
cka_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_084843,cka_depth,0.8899914820988973,1.000000238418579,0.7127745747566223
cka_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_084944,cka_depth,0.8309648368093703,1.0,0.564391553401947
cka_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_085156,cka_depth,0.8128783570395576,1.0,0.5010554790496826
cka_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_085303,cka_depth,0.7982710533671908,1.0,0.46739980578422546
cka_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_085353,cka_depth,0.8779484166039361,1.0000001192092896,0.6680023074150085
cka_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_085613,cka_depth,0.84735506772995,1.0,0.6007316708564758
cka_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_085803,cka_depth,0.8268079492780898,1.0,0.519953727722168
cka_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_085958,cka_depth,0.870709584818946,1.0,0.6603739261627197
cka_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_090029,cka_depth,0.8558455175823636,1.0,0.6050431728363037
cka_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_090225,cka_depth,0.8451822929912143,1.0000001192092896,0.5973066687583923
cka_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_090507,cka_depth,0.8208128213882446,1.0,0.5540645718574524
cka_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_090601,cka_depth,0.8385841647783915,1.0,0.5771293044090271
cka_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_090946,cka_depth,0.8788947330580817,1.0,0.6717424988746643
cka_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_091221,cka_depth,0.8444711632198758,1.0000001192092896,0.5937214493751526
cka_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_091253,cka_depth,0.8639451662699381,1.0,0.6558898687362671
cka_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_100929,cka_depth,0.8445080253813002,1.0000001192092896,0.5954280495643616
cka_depth,DD,MatrixResGated,GCNConv,0,B4,sparse,20260507_101254,cka_depth,0.8637933731079102,1.0,0.6360424160957336
cka_depth,DD,MatrixResGated,GCNConv,0,B5,sparse,20260507_101837,cka_depth,0.8081605898009406,1.0,0.4930979609489441
cka_depth,DD,MatrixResGated,GCNConv,0,B6,sparse,20260507_102427,cka_depth,0.824791881773207,1.0,0.5388805270195007
cka_depth,DD,MatrixResGated,GCNConv,0,B7,sparse,20260507_103151,cka_depth,0.8543910913997226,1.000000238418579,0.6063805818557739
cka_depth,DD,MatrixResGated,GCNConv,0,B8,sparse,20260507_103803,cka_depth,0.880801154507531,1.0,0.7003180384635925
cka_depth,DD,MatrixResGated,GCNConv,1,B1,sparse,20260507_100337,cka_depth,0.9644941886266073,1.0,0.9091757535934448
cka_depth,DD,MatrixResGated,GCNConv,1,B2,sparse,20260507_100658,cka_depth,0.9801075524753995,1.0,0.9495592713356018
cka_depth,DD,MatrixResGated,GCNConv,1,B3,sparse,20260506_223526,cka_depth,0.9658159679836698,1.0,0.9129434823989868
cka_depth,DD,MatrixResGated,GCNConv,1,B3,sparse,20260507_101020,cka_depth,0.9674173593521118,1.0,0.916751503944397
cka_depth,DD,MatrixResGated,GCNConv,1,B4,sparse,20260507_101433,cka_depth,0.9713018602795072,1.0,0.9278149008750916
cka_depth,DD,MatrixResGated,GCNConv,1,B5,sparse,20260507_101852,cka_depth,0.9319964382383559,1.0,0.8315197229385376
cka_depth,DD,MatrixResGated,GCNConv,1,B6,sparse,20260507_102531,cka_depth,0.9019498758845859,1.0000001192092896,0.7567026615142822
cka_depth,DD,MatrixResGated,GCNConv,1,B7,sparse,20260507_103147,cka_depth,0.8754722409778171,1.0,0.6821264624595642
cka_depth,DD,MatrixResGated,GCNConv,1,B8,sparse,20260507_104116,cka_depth,0.842923899491628,1.0,0.6463756561279297
cka_depth,DD,MatrixResGated,GCNConv,2,B1,sparse,20260507_100357,cka_depth,0.9612871342235141,1.0,0.8964238166809082
cka_depth,DD,MatrixResGated,GCNConv,2,B2,sparse,20260507_100639,cka_depth,0.9717617895868089,1.0000001192092896,0.9263138771057129
cka_depth,DD,MatrixResGated,GCNConv,2,B3,sparse,20260506_223451,cka_depth,0.968842625617981,1.0,0.919515073299408
cka_depth,DD,MatrixResGated,GCNConv,2,B3,sparse,20260507_101018,cka_depth,0.9688182804319594,1.0,0.9194701313972473
cka_depth,DD,MatrixResGated,GCNConv,2,B4,sparse,20260507_101313,cka_depth,0.9607966012424893,1.0,0.9014944434165955
cka_depth,DD,MatrixResGated,GCNConv,2,B5,sparse,20260507_101726,cka_depth,0.9611505402459039,1.0,0.9035578370094299
cka_depth,DD,MatrixResGated,GCNConv,2,B6,sparse,20260507_102322,cka_depth,0.9680865340762668,1.0,0.9197962880134583
cka_depth,DD,MatrixResGated,GCNConv,2,B7,sparse,20260507_103029,cka_depth,0.9606667889489068,1.0,0.899038553237915
cka_depth,DD,MatrixResGated,GCNConv,2,B8,sparse,20260507_103845,cka_depth,0.96552398469713,1.0,0.9084613919258118
cka_depth,DD,MatrixResGated,GCNConv,3,B1,sparse,20260507_100432,cka_depth,0.9023813803990682,1.0,0.7447783350944519
cka_depth,DD,MatrixResGated,GCNConv,3,B2,sparse,20260507_100855,cka_depth,0.8212766183747185,1.0,0.5258700251579285
cka_depth,DD,MatrixResGated,GCNConv,3,B3,sparse,20260506_223613,cka_depth,0.8421907557381524,1.0,0.5822667479515076
cka_depth,DD,MatrixResGated,GCNConv,3,B3,sparse,20260507_101126,cka_depth,0.8494338525666131,1.0,0.6015505194664001
cka_depth,DD,MatrixResGated,GCNConv,3,B4,sparse,20260507_101523,cka_depth,0.8779475490252177,1.0,0.6710062623023987
cka_depth,DD,MatrixResGated,GCNConv,3,B5,sparse,20260507_102049,cka_depth,0.807400213347541,1.0000001192092896,0.4683079719543457
cka_depth,DD,MatrixResGated,GCNConv,3,B6,sparse,20260507_102655,cka_depth,0.9170115987459818,1.0,0.7784034013748169
cka_depth,DD,MatrixResGated,GCNConv,3,B7,sparse,20260507_103513,cka_depth,0.9093753298123678,1.0,0.7551800608634949
cka_depth,DD,MatrixResGated,GCNConv,3,B8,sparse,20260507_104254,cka_depth,0.879644493261973,1.0,0.6772085428237915
cka_depth,DD,MatrixResGated,GCNConv,4,B1,sparse,20260507_100438,cka_depth,0.9728115399678549,1.0,0.932053804397583
cka_depth,DD,MatrixResGated,GCNConv,4,B2,sparse,20260507_100745,cka_depth,0.9751936594645182,1.0,0.9387439489364624
cka_depth,DD,MatrixResGated,GCNConv,4,B3,sparse,20260506_223605,cka_depth,0.967500752872891,1.0000001192092896,0.9171441793441772
cka_depth,DD,MatrixResGated,GCNConv,4,B3,sparse,20260507_101140,cka_depth,0.9674815800454881,1.0,0.9170833826065063
cka_depth,DD,MatrixResGated,GCNConv,4,B4,sparse,20260507_101458,cka_depth,0.9622742070092095,1.0,0.9075135588645935
cka_depth,DD,MatrixResGated,GCNConv,4,B5,sparse,20260507_102044,cka_depth,0.9580760796864828,1.0000001192092896,0.8934910893440247
cka_depth,DD,MatrixResGated,GCNConv,4,B6,sparse,20260507_102716,cka_depth,0.964942647351159,1.000000238418579,0.9115152359008789
cka_depth,DD,MatrixResGated,GCNConv,4,B7,sparse,20260507_103440,cka_depth,0.9566012952062819,1.0,0.8863579034805298
cka_depth,DD,MatrixResGated,GCNConv,4,B8,sparse,20260507_104131,cka_depth,0.9693415628539191,1.0,0.9241415858268738
cka_depth,DD,MatrixRes,GCNConv,0,B1,identity,20260507_091148,cka_depth,0.8428737454944186,1.0,0.5692009329795837
cka_depth,DD,MatrixRes,GCNConv,0,B2,identity,20260507_091452,cka_depth,0.8852924638324313,1.0,0.671358585357666
cka_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260506_220130,cka_depth,0.9137951731681824,1.0000001192092896,0.7663477659225464
cka_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260506_223200,cka_depth,0.8320503897137113,1.0,0.5282993912696838
cka_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260507_082526,cka_depth,0.9072981410556369,1.0,0.7465792894363403
cka_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260507_082557,cka_depth,0.8685797519154019,1.0,0.6258183717727661
cka_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260507_082600,cka_depth,0.8304416206147935,1.0,0.5246661305427551
cka_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083013,cka_depth,0.8895157972971598,1.0,0.713534414768219
cka_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083052,cka_depth,0.8607056670718722,1.000000238418579,0.6080161333084106
cka_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083113,cka_depth,0.8330261773533292,1.0,0.5357053875923157
cka_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083510,cka_depth,0.8535659246974521,1.0,0.5864875912666321
cka_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083551,cka_depth,0.8543739451302422,1.0,0.5889781713485718
cka_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083601,cka_depth,0.846237752172682,1.0,0.560025691986084
cka_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083936,cka_depth,0.8310049573580424,1.0,0.5318565368652344
cka_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260507_084252,cka_depth,0.8565326995319791,1.0,0.5961817502975464
cka_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260507_091841,cka_depth,0.8397348192003038,1.0,0.5490114092826843
cka_depth,DD,MatrixRes,GCNConv,0,B4,identity,20260507_092313,cka_depth,0.8205217917760214,1.0,0.5022256374359131
cka_depth,DD,MatrixRes,GCNConv,0,B5,identity,20260507_092952,cka_depth,0.8425719738006592,1.0,0.5680485963821411
cka_depth,DD,MatrixRes,GCNConv,0,B6,identity,20260507_093718,cka_depth,0.838870730664995,1.0,0.5537006258964539
cka_depth,DD,MatrixRes,GCNConv,0,B7,identity,20260507_094819,cka_depth,0.8494806289672852,1.0,0.5751277804374695
cka_depth,DD,MatrixRes,GCNConv,0,B8,identity,20260507_095714,cka_depth,0.8387919929292467,1.0,0.5470489263534546
